product_id,title,brand,category,price,avg_rating,reviews_count,views,cart_adds,purchases,last_30_days_sales,last_7_days_sales,return_rate,stock,discount_percent,launch_date
P9001,Apple iPhone 15 128GB,Apple,Smartphone,799.0,4.11,524,20291,2348,1150,387,69,0.041,13,20,2025-03-04
P9002,Samsung Galaxy S24 256GB,Samsung,Smartphone,859.99,4.75,264,16777,2234,965,451,111,0.036,86,0,2024-08-14
P9003,Google Pixel 8 Pro,Google,Smartphone,899.0,4.17,213,15106,3392,784,232,66,0.039,93,5,2024-07-11
P9004,OnePlus 12 512GB,OnePlus,Smartphone,799.99,4.1,170,17182,2544,548,234,84,0.053,60,12,2025-01-05
P9005,Xiaomi Redmi Note 13 Pro,Xiaomi,Smartphone,329.99,4.26,484,17177,3075,1024,372,139,0.047,49,18,2024-04-30
P9006,Sony WH-1000XM5 Headphones,Sony,Headphones,399.99,4.84,284,18442,1918,702,327,115,0.05,15,20,2024-11-17
P9007,Apple AirPods Pro 2,Apple,Headphones,249.0,4.73,200,16527,2203,801,409,71,0.024,40,18,2024-11-13
P9008,Bose QuietComfort Ultra,Bose,Headphones,429.0,4.29,361,18313,2930,927,359,105,0.041,8,18,2025-05-20
P9009,JBL Tune 770NC,JBL,Headphones,129.95,4.26,203,12295,2612,519,218,61,0.047,16,5,2024-05-20
P9010,Sennheiser Momentum 4,Sennheiser,Headphones,379.95,4.4,204,17924,2453,542,157,30,0.047,35,5,2025-11-05
P9011,Dell XPS 13 Plus,Dell,Laptop,1249.99,4.27,104,11652,1580,471,284,88,0.027,53,12,2025-06-11
P9012,Apple MacBook Air M3,Apple,Laptop,1099.0,4.44,344,19304,1908,571,229,56,0.039,93,20,2024-04-16
P9013,Lenovo ThinkPad X1 Carbon,Lenovo,Laptop,1499.0,4.89,136,13753,1495,331,98,27,0.019,82,0,2025-07-03
P9014,ASUS ROG Zephyrus G14,ASUS,Laptop,1599.99,4.79,119,9407,1302,244,116,30,0.02,38,12,2024-04-28
P9015,HP Victus 16 Gaming Laptop,HP,Laptop,999.99,4.46,98,15057,1868,382,165,51,0.019,49,10,2025-06-12
P9016,Samsung Galaxy Tab S9,Samsung,Tablet,699.99,4.17,188,8513,1935,410,251,87,0.019,73,10,2024-09-24
P9017,Apple iPad Air,Apple,Tablet,599.0,4.24,162,12129,1895,355,170,56,0.031,87,7,2024-07-18
P9018,Microsoft Surface Pro 9,Microsoft,Tablet,1099.99,4.24,184,12247,1557,412,224,59,0.027,9,0,2024-07-17
P9019,Amazon Kindle Paperwhite,Amazon,Tablet,189.99,4.85,216,11533,1670,331,112,23,0.042,52,0,2024-07-20
